practical_third,condition,signatory_id,AgtId,agt_dat,signatory_type,id_paax,actor_name,abbreviation,type,actor_type,un_type,country_based,iso3c,gwno,region_pax,region_geo,description,actor_id,ucdp_id,ucdp_name,ucdp_url,acled_name,acled_other,short_agt_name,PP,PPName,Con,agt_type,stage_label,date,year,agt_description,PAX_Hyperlink,PDF_Hyperlink,PA-X Page html,Agreement PDF html,Loc1ISO,Loc2ISO,UcdpCon,global_actor
1,C1,38,6,Kosovo Peace Plan (03/06/1999),third party,IGO_5,European Union,EU,IGO,Intergovernmental Organization,,,,,,,European Union (EU) is a Intergovernmental Organization actor (international). ,5,,,,,,"Pre-negotiation, 3 June 1999",129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Intrastate,Pre-negotiation,1999-06-03,1999,"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return.",https://pax.peaceagreements.org/agreements/6/,https://pax.peaceagreements.org/media/documents/ag6_57ac5b2498062.pdf,"<a href=""https://pax.peaceagreements.org/agreements/6/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag6_57ac5b2498062.pdf"" target=""_blank"">View agreement PDF</a>",,SRB,412,Russia
1,C1,40,6,Kosovo Peace Plan (03/06/1999),third party,CON_21,Russia,RUS,CON,Country/State,P5,Russia,RUS,365,Europe and Eurasia,Europe,Russia (RUS) is a Country/State actor (Russia). ,21,57,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,"Pre-negotiation, 3 June 1999",129,Kosovo process,Kosovo/Serbia/Yugoslavia (former),Intrastate,Pre-negotiation,1999-06-03,1999,"The plan outlines areas on which agreement should be reached including: the deployment of international civilian and security presence; establishment of an interim administration under which the people of Kosovo would enjoy substantial autonomy within the FRY; return of all refugees and displaced persons under UNHCR supervision, and undisturbed access for humanitarian organisations. It also provides for withdraw of FRY armed personnel, with conditions for limited return.",https://pax.peaceagreements.org/agreements/6/,https://pax.peaceagreements.org/media/documents/ag6_57ac5b2498062.pdf,"<a href=""https://pax.peaceagreements.org/agreements/6/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag6_57ac5b2498062.pdf"" target=""_blank"">View agreement PDF</a>",,SRB,412,Russia
1,C1,77,10,Final Document of the Moscow Meeting (Moscow Ceasefire) (03/09/1992),third party,ENT_46,Abkhazia,,ENT,Entity,,Georgia,GEO,372,Europe and Eurasia,Asia,Abkhazia  is a Entity actor (Georgia). ,46,,,,,,"Ceasefire, 3 September 1992",43,Abkhazia peace process,Georgia/Russia/(Abkhazia),Intrastate,Ceasefire,1992-09-03,1992,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",https://pax.peaceagreements.org/agreements/10/,https://pax.peaceagreements.org/media/documents/ag10_56bb5f05bf2ff.pdf,"<a href=""https://pax.peaceagreements.org/agreements/10/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag10_56bb5f05bf2ff.pdf"" target=""_blank"">View agreement PDF</a>",GEO,RUS,392,Russia
1,C1,78,10,Final Document of the Moscow Meeting (Moscow Ceasefire) (03/09/1992),third party,CON_21,Russia,RUS,CON,Country/State,P5,Russia,RUS,365,Europe and Eurasia,Europe,Russia (RUS) is a Country/State actor (Russia). ,21,57,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,"Ceasefire, 3 September 1992",43,Abkhazia peace process,Georgia/Russia/(Abkhazia),Intrastate,Ceasefire,1992-09-03,1992,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",https://pax.peaceagreements.org/agreements/10/,https://pax.peaceagreements.org/media/documents/ag10_56bb5f05bf2ff.pdf,"<a href=""https://pax.peaceagreements.org/agreements/10/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag10_56bb5f05bf2ff.pdf"" target=""_blank"">View agreement PDF</a>",GEO,RUS,392,Russia
1,C1,76,10,Final Document of the Moscow Meeting (Moscow Ceasefire) (03/09/1992),third party,ENT_47,North Caucasian,,ENT,Entity,,Russia,RUS,365,Europe and Eurasia,Europe,North Caucasian  is a Entity actor (Russia). ,47,,,,,,"Ceasefire, 3 September 1992",43,Abkhazia peace process,Georgia/Russia/(Abkhazia),Intrastate,Ceasefire,1992-09-03,1992,"Parties agreed to a ceasefire and affirmed territorial integrity of Georgia.  Provided for establishment of a monitoring and inspection commission; an agreed level of armed forces, exchange of detainees, hostages and prisoners and prohibition and prevention of all terrorist acts or taking of hostages.  Also made provision for removal of obstacles to free movement; creation of conditions for return of refugees and steps to search for those who have disappeared, as well as steps to rehabilitate the area and to ensure availability of humanitarian assistance.  Reaffirmed need to respect human rights and rights of national minorities, to prevent discrimination, and to hold free and democratic elections.  Parties also agreed to assist legitimate authorities in Abkhazia to resume their normal functions and appealed for fact-finding missions and observers.",https://pax.peaceagreements.org/agreements/10/,https://pax.peaceagreements.org/media/documents/ag10_56bb5f05bf2ff.pdf,"<a href=""https://pax.peaceagreements.org/agreements/10/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag10_56bb5f05bf2ff.pdf"" target=""_blank"">View agreement PDF</a>",GEO,RUS,392,Russia
1,C1,83,12,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva (01/12/1993),third party,IGO_48,Conference on Security and Cooperation in Europe,CSCE,IGO,Intergovernmental Organization,,,,,,,Conference on Security and Cooperation in Europe (CSCE) is a Intergovernmental Organization actor (international). ,48,,,,,,"Framework-substantive, partial, 1 December 1993",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,"Framework-substantive, partial",1993-12-01,1993,Commitment not to use force or threat of force for period of negotiations.  Maintenance of peace to be promoted by increase in international observers and use of peace-keeping forces.  Also provided for exchange of prisoners of war before 20 December in gesture of good will; urgent measures to find missing persons; creation of conditions for return of refugees and return of land and property.  Parties expressed hope for participation of United Nations High Commissioner for Refugees and appealed for humanitarian assistance.  Agreed a group of experts would prepare recommendations on the political status of Abkhazia and set date for next round of negotiations.,https://pax.peaceagreements.org/agreements/12/,https://pax.peaceagreements.org/media/documents/ag12_56bcb80ccea1f.pdf,"<a href=""https://pax.peaceagreements.org/agreements/12/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag12_56bcb80ccea1f.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,85,12,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva (01/12/1993),third party,IGO_49,United Nations (General),UN,IGO,Intergovernmental Organization,United Nations,,,,,,United Nations (General) (UN) is a Intergovernmental Organization actor (international). ,49,,,,UN: United Nations,,"Framework-substantive, partial, 1 December 1993",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,"Framework-substantive, partial",1993-12-01,1993,Commitment not to use force or threat of force for period of negotiations.  Maintenance of peace to be promoted by increase in international observers and use of peace-keeping forces.  Also provided for exchange of prisoners of war before 20 December in gesture of good will; urgent measures to find missing persons; creation of conditions for return of refugees and return of land and property.  Parties expressed hope for participation of United Nations High Commissioner for Refugees and appealed for humanitarian assistance.  Agreed a group of experts would prepare recommendations on the political status of Abkhazia and set date for next round of negotiations.,https://pax.peaceagreements.org/agreements/12/,https://pax.peaceagreements.org/media/documents/ag12_56bcb80ccea1f.pdf,"<a href=""https://pax.peaceagreements.org/agreements/12/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag12_56bcb80ccea1f.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,84,12,Memorandum of understanding between the Georgian and Abkhaz sides at the negotiations held in Geneva (01/12/1993),third party,CON_21,Russia,RUS,CON,Country/State,P5,Russia,RUS,365,Europe and Eurasia,Europe,Russia (RUS) is a Country/State actor (Russia). ,21,57,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,"Framework-substantive, partial, 1 December 1993",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,"Framework-substantive, partial",1993-12-01,1993,Commitment not to use force or threat of force for period of negotiations.  Maintenance of peace to be promoted by increase in international observers and use of peace-keeping forces.  Also provided for exchange of prisoners of war before 20 December in gesture of good will; urgent measures to find missing persons; creation of conditions for return of refugees and return of land and property.  Parties expressed hope for participation of United Nations High Commissioner for Refugees and appealed for humanitarian assistance.  Agreed a group of experts would prepare recommendations on the political status of Abkhazia and set date for next round of negotiations.,https://pax.peaceagreements.org/agreements/12/,https://pax.peaceagreements.org/media/documents/ag12_56bcb80ccea1f.pdf,"<a href=""https://pax.peaceagreements.org/agreements/12/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag12_56bcb80ccea1f.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,90,13,Communiqué on the second round of negotiations between the Georgian and Abkhaz sides (13/01/1994),third party,IGO_49,United Nations (General),UN,IGO,Intergovernmental Organization,United Nations,,,,,,United Nations (General) (UN) is a Intergovernmental Organization actor (international). ,49,,,,UN: United Nations,,"Pre-negotiation, 13 January 1994",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1994-01-13,1994,"Noted that provisions of the last Memorandum were for the most part being implemented and reaffirmed commitment not to use force.  Appealed to UN to extend mandate of UN Observer Mission in Georgia (UNOMIG) and to intensify the international civilian presence.  Provided for withdrawal of armed units from lines of confrontation and complete disarmament and made provision for a Russian military contingent in a UN peacekeeping force.  Agreed to continue to work out agreement on voluntary return of refugees/displaced persons, to establish special commission on refugees, and to begin implementation of phased process of their return to Abkhazia.  Also agreed to continue discussion of problem of political status of Abkhazia and expressed interest in establishment of an international commission to assist economic recovery.",https://pax.peaceagreements.org/agreements/13/,https://pax.peaceagreements.org/media/documents/ag13_56bcbbde007dd.pdf,"<a href=""https://pax.peaceagreements.org/agreements/13/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag13_56bcbbde007dd.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,91,13,Communiqué on the second round of negotiations between the Georgian and Abkhaz sides (13/01/1994),third party,CON_21,Russia,RUS,CON,Country/State,P5,Russia,RUS,365,Europe and Eurasia,Europe,Russia (RUS) is a Country/State actor (Russia). ,21,57,Government of Russia (Soviet Union),https://ucdp.uu.se/actor/57,Government of Russia (2000-),Government of Russia (2000-) | Government of Russia (2000-) Republic of Chechnya | Government of Russia (2000-) Republic of Ingushetia,"Pre-negotiation, 13 January 1994",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1994-01-13,1994,"Noted that provisions of the last Memorandum were for the most part being implemented and reaffirmed commitment not to use force.  Appealed to UN to extend mandate of UN Observer Mission in Georgia (UNOMIG) and to intensify the international civilian presence.  Provided for withdrawal of armed units from lines of confrontation and complete disarmament and made provision for a Russian military contingent in a UN peacekeeping force.  Agreed to continue to work out agreement on voluntary return of refugees/displaced persons, to establish special commission on refugees, and to begin implementation of phased process of their return to Abkhazia.  Also agreed to continue discussion of problem of political status of Abkhazia and expressed interest in establishment of an international commission to assist economic recovery.",https://pax.peaceagreements.org/agreements/13/,https://pax.peaceagreements.org/media/documents/ag13_56bcbbde007dd.pdf,"<a href=""https://pax.peaceagreements.org/agreements/13/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag13_56bcbbde007dd.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
1,C1,89,13,Communiqué on the second round of negotiations between the Georgian and Abkhaz sides (13/01/1994),third party,IGO_48,Conference on Security and Cooperation in Europe,CSCE,IGO,Intergovernmental Organization,,,,,,,Conference on Security and Cooperation in Europe (CSCE) is a Intergovernmental Organization actor (international). ,48,,,,,,"Pre-negotiation, 13 January 1994",43,Abkhazia peace process,Georgia/(Abkhazia),Intrastate,Pre-negotiation,1994-01-13,1994,"Noted that provisions of the last Memorandum were for the most part being implemented and reaffirmed commitment not to use force.  Appealed to UN to extend mandate of UN Observer Mission in Georgia (UNOMIG) and to intensify the international civilian presence.  Provided for withdrawal of armed units from lines of confrontation and complete disarmament and made provision for a Russian military contingent in a UN peacekeeping force.  Agreed to continue to work out agreement on voluntary return of refugees/displaced persons, to establish special commission on refugees, and to begin implementation of phased process of their return to Abkhazia.  Also agreed to continue discussion of problem of political status of Abkhazia and expressed interest in establishment of an international commission to assist economic recovery.",https://pax.peaceagreements.org/agreements/13/,https://pax.peaceagreements.org/media/documents/ag13_56bcbbde007dd.pdf,"<a href=""https://pax.peaceagreements.org/agreements/13/"" target=""_blank"">View on PA-X Database</a>","<a href=""https://pax.peaceagreements.org/media/documents/ag13_56bcbbde007dd.pdf"" target=""_blank"">View agreement PDF</a>",GEO,,392,Russia
