AgtId,country_entity
2232,Afghanistan
2242,Afghanistan
1739,Afghanistan
1923,Afghanistan
864,Afghanistan
848,Afghanistan
849,Afghanistan
709,Afghanistan
708,Afghanistan
707,Afghanistan
706,Afghanistan
847,Afghanistan
705,Afghanistan
1069,Afghanistan
1061,Afghanistan
1054,Afghanistan
909,Afghanistan
908,Afghanistan
272,Afghanistan
553,Afghanistan
409,Afghanistan
482,Afghanistan
1070,Afghanistan
2271,Afghanistan
2272,Afghanistan
1595,Algeria
1738,Algeria
1737,Algeria
1255,Algeria
1044,Algeria
484,Algeria
978,Angola
305,Angola
299,Angola
300,Angola
301,Angola
1,Angola
439,Angola
1318,Angola
207,Angola
1316,Angola
1319,Angola
1317,Angola
668,Angola
349,Angola
789,Angola
1336,Angola
1062,Angola
423,Argentina
431,Argentina
2454,Armenia
2468,Armenia
2396,Armenia
2455,Armenia
2324,Armenia
2321,Armenia
2322,Armenia
1926,Armenia
1687,Armenia
1686,Armenia
1684,Armenia
1733,Armenia
990,Armenia
310,Armenia
1732,Armenia
1731,Armenia
1730,Armenia
1729,Armenia
1728,Armenia
1727,Armenia
1726,Armenia
1725,Armenia
1724,Armenia
1723,Armenia
1722,Armenia
1721,Armenia
1683,Armenia
1925,Armenia
1685,Armenia
823,Armenia
611,Armenia
1412,Bahrain
1415,Bahrain
1414,Bahrain
1413,Bahrain
1437,Bahrain
238,Bangladesh
2447,Bosnia and Herzegovina
384,Bosnia and Herzegovina
1212,Bosnia and Herzegovina
276,Bosnia and Herzegovina
1210,Bosnia and Herzegovina
1209,Bosnia and Herzegovina
1207,Bosnia and Herzegovina
1903,Bosnia and Herzegovina
311,Bosnia and Herzegovina
1206,Bosnia and Herzegovina
1205,Bosnia and Herzegovina
1204,Bosnia and Herzegovina
1203,Bosnia and Herzegovina
1320,Bosnia and Herzegovina
1030,Bosnia and Herzegovina
389,Bosnia and Herzegovina
1289,Bosnia and Herzegovina
2,Bosnia and Herzegovina
1201,Bosnia and Herzegovina
1645,Bosnia and Herzegovina
322,Bosnia and Herzegovina
78,Bosnia and Herzegovina
77,Bosnia and Herzegovina
1644,Bosnia and Herzegovina
1214,Bosnia and Herzegovina
1643,Bosnia and Herzegovina
1642,Bosnia and Herzegovina
1874,Bosnia and Herzegovina
1641,Bosnia and Herzegovina
1654,Bosnia and Herzegovina
1640,Bosnia and Herzegovina
1639,Bosnia and Herzegovina
1213,Bosnia and Herzegovina
915,Bosnia and Herzegovina
916,Bosnia and Herzegovina
1504,Bosnia and Herzegovina
1503,Bosnia and Herzegovina
1501,Bosnia and Herzegovina
1226,Bosnia and Herzegovina
1500,Bosnia and Herzegovina
1637,Bosnia and Herzegovina
1873,Bosnia and Herzegovina
1499,Bosnia and Herzegovina
1198,Bosnia and Herzegovina
1636,Bosnia and Herzegovina
1878,Bosnia and Herzegovina
1850,Bosnia and Herzegovina
608,Bosnia and Herzegovina
1179,Bosnia and Herzegovina
1633,Bosnia and Herzegovina
1497,Bosnia and Herzegovina
1931,Bosnia and Herzegovina
1632,Bosnia and Herzegovina
1872,Bosnia and Herzegovina
1930,Bosnia and Herzegovina
1598,Bosnia and Herzegovina
1298,Bosnia and Herzegovina
1849,Bosnia and Herzegovina
1871,Bosnia and Herzegovina
1494,Bosnia and Herzegovina
1202,Bosnia and Herzegovina
1493,Bosnia and Herzegovina
1297,Bosnia and Herzegovina
1569,Bosnia and Herzegovina
472,Bosnia and Herzegovina
1630,Bosnia and Herzegovina
1490,Bosnia and Herzegovina
1486,Bosnia and Herzegovina
1485,Bosnia and Herzegovina
1628,Bosnia and Herzegovina
1870,Bosnia and Herzegovina
1177,Bosnia and Herzegovina
1627,Bosnia and Herzegovina
1626,Bosnia and Herzegovina
1625,Bosnia and Herzegovina
1172,Bosnia and Herzegovina
1847,Bosnia and Herzegovina
1624,Bosnia and Herzegovina
1623,Bosnia and Herzegovina
1484,Bosnia and Herzegovina
1622,Bosnia and Herzegovina
1483,Bosnia and Herzegovina
606,Bosnia and Herzegovina
1621,Bosnia and Herzegovina
1482,Bosnia and Herzegovina
1877,Bosnia and Herzegovina
1620,Bosnia and Herzegovina
1027,Bosnia and Herzegovina
1869,Bosnia and Herzegovina
1619,Bosnia and Herzegovina
1876,Bosnia and Herzegovina
1182,Bosnia and Herzegovina
1848,Bosnia and Herzegovina
1618,Bosnia and Herzegovina
1617,Bosnia and Herzegovina
1616,Bosnia and Herzegovina
1615,Bosnia and Herzegovina
1928,Bosnia and Herzegovina
